speaker,text
01_LYNN,"You know, and I nei-. I never knew that, until I took this class, either. I didn't realize that in-... you know, if you think about it, yeah, if it rains a lot, the horse is always wet. And it's always moist, and it's always on something moist."
01_LENO,Yeah.
01_LYNN,"Sure it's gonna be softer. But I never even thought about that until I took this class. So it's... you know that's kinda stuff too that you think about. But anyway, they always have this one horseshoer, and, this girl's been in this ferrier, uh, she's going to an actual ferrier college. They have a lot of those around... a lot. And she's going to one of em, and she's been going for, like nine months... to this one, and she's still got a lot more."
01_DORI,"Where is the, uh."
01_LYNN,Left to go. What.
01_DORI,Where is the <XX>.
01_LYNN,Oh. Right here.
01_DORI,"Guess I'll put it on, it's not on, <XX>."
01_LYNN,"But anyway, She has, um, she... he's like taking her as a-... uh you know, helping her out, and stuff, you know, for the summer, she's been working with him all summer. And, it's really different, to see a girl doing it... you know... you just uh don't see that..."
01_ENV,<NONVERBAL>
01_LYNN,"At all... ever. Jorgensen's have a girl-... or a g-... you know a guy, they've had a guy being a horseshoer for, a long time you know. And they, are um, there's this girl, that's working with him, for the summer."
01_DORI,Unhunh.
01_LYNN,And she's gonna be a ferrier.
01_DORI,Yeah.
01_LYNN,"I couldn't believe it. And she's just little. She's a tiny girl, but, boy I tell you, she's got arms the size of... they're huge... but she must only. What is m- blowing out of there."
01_DORI,"Well, that's what happens with that air conditioner... it's just... it gets dust accumulated in it, see it's all over the TV."
01_LYNN,"It was just on last night, how does it get dust in it already."
01_DORI,"Well, I. It Mae Lynne, for one thing the filters are dirty because it it so... been so dry. And the... it all comes acrost, the road... you know... and, and then it builds up real bad with, deposits, out of the water."
01_LYNN,Oh.
01_DORI,In other words I should be change filters.
01_LYNN,Ugh. God.
01_DORI,"I know. It won't last long. But, it sure does make a mess in the house."
01_LYNN,Yeah... it makes a mess.
01_DORI,I need new filters... <XX>.
01_LYNN,"Anyway, this girl must only weigh like, a hundred and ten pounds. I mean, she's just a little shit... and she's out there, and she's got huge arms. I mean she's in shape like you can't believe. She's out there just, working away. And, those guys are so used to it, that they do it all day long... you know."
01_LENO,Mhm.
01_LYNN,"And that doesn't bother em a bit, to just go out there and, trim and trim and trim. And shoe, and everything, but, for me, that's something I'm not used to... and boy I tell you... you just... sweat just rolls off of you. I just, it's tiring. The very... uh at the very beginning, when we first started doing it, we only did like one hoof. Then we moved up to two, Then we moved up to a full horse, you know. And, We were just slowly got in shape... doing that... you know. But now if I went to do that. Holy smokes. I'd never be able to handle it."
01_LENO,Why.
01_LYNN,"It's just... it's a... it's hard work. It is really hard work. You're bent over, and it's uh... you know, it takes like. I don't know why you sweat so bad doing it either, but you just, oh, it's just, it's just hard hard work. It's-... it doesn't seem like it would be, but, it is. It's really takes a lot of muscles to do it too. I mean a lot. Those. It's hard."
01_LENO,You don't get kicked a lot.
01_LYNN,"I've never been kicked, ever. But like, it- those college h- is course, you know, like I was talking, our horses are a little better than, most people's horse, cause they've been around people a lot. And they, they don't get by with stuff. I mean, we do get mad at our horses for, you know, whatever they do wrong, we do get mad at em, like I noticed, horses at college, they just haven't been disciplined enough... and they're just, it's like a kid, they're just, are ornery, you know. And like, they'll move around, and, uh kinda be ornery about half way, but not not too bad. I've never been kicked doing it at all. And that's another thing we had to learn in the class you know, just had to learn our safety of, where to stand, and how to stand, You have to stand like these certain ways, and, oh and it's a killer on your back, cause you're standing like this. Oh I'm sorry Berry. You're standing..."
01_ENV,<NONVERBAL>
